name,,artist,,,popularity,,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,,mood
1999,,Prince,,,68,,0.866,0.137,0.73,0,0.0843,0.625,-8.201,0.0767,118.523,5,,Happy
23,,Blonde Redhead,,,43,,0.381,0.0189,0.832,0.196,0.153,0.166,-5.069,0.0492,120.255,8,,Sad
9 Crimes,,Damien Rice,,,60,,0.346,0.913,0.139,7.73E-05,0.0934,0.116,-15.326,0.0321,136.168,0,,Sad
99 Luftballons,,Nena,,,2,,0.466,0.089,0.438,5.62E-06,0.113,0.587,-12.858,0.0608,193.1,4,,Happy
A Boy Brushed Red Living In Black And White,,Underoath,,,60,,0.419,0.00171,0.932,0,0.137,0.445,-3.604,0.106,169.881,1,,Energetic
A Burden to Bear,,Emmanuelle Rimbaud,,,27,,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,6,,Calm
A La Plage,,Ron Adelaar,,,29,,0.504,0.994,0.0584,0.956,0.115,0.553,-20.461,0.0516,134.209,5,,Calm
A Little Less Conversation - JXL Radio Edit Remix,,Elvis Presley,,,1,,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,,Happy
A Place for My Head,,Linkin Park,,,68,,0.603,0.0144,0.908,0,0.671,0.457,-5.254,0.184,133.063,11,,Energetic
ATTACK,,Thirty Seconds To Mars,,,0,,0.331,0.00344,0.876,0.000835,0.732,0.299,-1.894,0.0603,175.009,5,,Energetic
Adagio For Strings,,Lucas & Steve,,,55,,0.349,0.000877,0.793,0.431,0.22,0.0398,-6.748,0.0677,127.139,10,,Energetic
Adjustments,,Josie Mehlin,,,52,,0.532,0.974,0.541,0.864,0.228,0.329,-11.932,0.0283,136.063,0,,Calm
Adrift,,Cooper Sams,,,53,,0.382,0.497,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.974,7,,Calm
Afraid of Heights,,Billy Talent,,,38,,0.543,0.000168,0.991,1.31E-05,0.374,0.766,-2.78,0.0668,150.031,9,,Energetic
Africa,,TOTO,,,84,,0.671,0.257,0.373,7.95E-05,0.0481,0.732,-18.064,0.0323,92.717,9,,Happy
After The Rain,,Comet Blue,,,24,,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,,Calm
Afterlife,,Avenged Sevenfold,,,13,,0.492,0.000444,0.95,6.22E-05,0.22,0.391,-4.195,0.076,110.027,2,,Energetic
Algo Rhythm,,One Sentence. Supervisor,,,0,,0.402,1.19E-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,,Sad
Alison,,Slowdive,,,0,,0.279,0.00957,0.423,0.837,0.128,0.291,-12.06,0.038,101.571,4,,Sad
Alive,,Paris Blohm,,,51,,0.494,0.00248,0.847,0,0.0502,0.148,-3.996,0.0537,129.909,0,,Energetic
All I Want,,Kodaline,,,29,,0.189,0.113,0.427,0.0923,0.058,0.158,-9.08,0.0449,187.212,0,,Sad
All Mirrors,,Angel Olsen,,,1,,0.429,0.00299,0.689,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,,Sad
All These Things I Hate (Revolve Around Me),,Bullet For My Valentine,,,39,,0.488,0.0303,0.879,0,0.288,0.483,-3.505,0.0514,94.003,6,,Energetic
All in the Suit That You Wear,,Stone Temple Pilots,,,39,,0.429,1.94E-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,,Energetic
All of Me,,John Legend,,,85,,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,,Sad
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,,Lost Frequencies,,,22,,0.737,0.226,0.816,0.453,0.621,0.533,-9.22,0.0411,124.014,4,,Happy
Always,,Saliva,,,63,,0.363,0.0122,0.906,0,0.172,0.371,-4.415,0.0615,181.964,1,,Energetic
Ambre,,Nils Frahm,,,0,,0.391,0.992,0.0576,0.947,0.117,0.359,-25.585,0.0342,145.569,10,,Calm
Anaviosi,,Alexi Musnitsky,,,38,,0.391,0.995,0.0121,0.946,0.0959,0.118,-24.588,0.0852,68.128,1,,Calm
Anchor,,Novo Amor,,,0,,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,,Sad
Andromeda,,Weyes Blood,,,36,,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,,Sad
Angel's Song,,Arlo Parks,,,58,,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,,Sad
Angry Chair,,Alice In Chains,,,22,,0.313,0.0642,0.973,1.22E-06,0.0581,0.118,-3.855,0.109,107.3,8,,Energetic
Anthem,,EDX,,,44,,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,,Happy
Anthem of Our Dying Day,,Story Of The Year,,,56,,0.388,0.0211,0.8,0,0.212,0.357,-6.33,0.0783,194.744,9,,Energetic
Are You Gonna Be My Girl,,Jet,,,75,,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,105.046,2,,Happy
As I Sleep (feat. Charlee),,Tobtok,,,55,,0.694,0.0195,0.824,0.0426,0.327,0.202,-6.306,0.161,123.014,8,,Energetic
Ashes to Ashes,,Warpaint,,,51,,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,,Sad
Atlavík,,Hugar,,,53,,0.535,0.867,0.147,0.797,0.0825,0.238,-25.141,0.0382,126.823,2,,Calm
Auburn Sky,,Toledo Rains,,,48,,0.265,0.906,0.035,0.89,0.0932,0.0651,-26.502,0.0359,132.972,4,,Calm
Awaken,,William Duhamel,,,55,,0.346,0.929,0.0943,0.918,0.102,0.109,-13.632,0.0362,127.006,2,,Calm
Away From Me,,Puddle Of Mudd,,,0,,0.396,0.00061,0.93,0,0.168,0.195,-2.939,0.1,154.777,8,,Energetic
Back Where I Belong (feat. Avicii),,Otto Knows,,,56,,0.497,0.0306,0.865,0.0679,0.443,0.595,-3.19,0.0644,125.96,0,,Energetic
Back+,,Ton Snijders,,,26,,0.383,0.993,0.0197,0.944,0.121,0.113,-28.192,0.0528,67.555,7,,Calm
Bad Feeling,,Muzz,,,39,,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5,,Sad
Bad Kingdom,,May,,,57,,0.401,0.934,0.199,0.0064,0.112,0.0744,-14.409,0.0355,118.351,9,,Sad
Bad Timing,,Arlo Day,,,30,,0.471,0.689,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6,,Sad
Ballad of the Dying Man,,Father John Misty,,,0,,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,,Sad
Balloon,,YuMe,,,34,,0.408,0.987,0.00518,0.929,0.12,0.0381,-29.142,0.0355,72.291,5,,Calm
Bat Country,,Avenged Sevenfold,,,39,,0.541,0.000248,0.968,8.28E-06,0.423,0.505,-4.129,0.0396,125.04,0,,Energetic
Bayybe 07,,Bilo 503,,,50,,0.44,0.827,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7,,Calm
Be My Mistake,,The 1975,,,39,,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,,Sad
Beautiful Life,,Lost Frequencies,,,31,,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,,Happy
Beautiful Night,,Burden Brothers,,,38,,0.531,0.000508,0.892,0.024,0.144,0.599,-4.54,0.0582,130.133,7,,Energetic
Beekweide,,Job Roggeveen,,,34,,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8,,Calm
Before You Go,,Lewis Capaldi,,,85,,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,,Sad
Bennie And The Jets - Remastered 2014,,Elton John,,,0,,0.666,0.251,0.668,5.77E-06,0.499,0.765,-7.961,0.0523,132.666,0,,Happy
Better Than Today,,Rhys Lewis,,,60,,0.387,0.736,0.234,0,0.084,0.408,-8.861,0.0373,78.65,0,,Sad
Better Together,,Jack Johnson,,,72,,0.868,0.308,0.347,2.00E-05,0.11,0.659,-9.529,0.0536,110.059,5,,Happy
Betty,,Wilson Trouvé,,,32,,0.171,0.89,0.185,0.94,0.101,0.264,-19.651,0.0348,142.694,9,,Calm
Billinghurst,,Jeremy Olander,,,0,,0.769,0.0305,0.701,0.85,0.0929,0.168,-9.089,0.062,123.011,5,,Energetic
Bird,,Billie Marten,,,55,,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6,,Sad
Bison on the Plains,,Grandaddy,,,32,,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.159,0.0281,133.874,9,,Sad
Black Car,,Beach House,,,0,,0.407,0.344,0.549,0.901,0.111,0.32,-10.244,0.0293,77.473,9,,Sad
Blackout,,(Hed) P.E.,,,37,,0.548,0.00016,0.864,0.00262,0.0354,0.5,-6.258,0.0557,95.569,1,,Energetic
Blame,,Manse,,,53,,0.612,0.619,0.68,0,0.0786,0.346,-4.925,0.0346,127.909,0,,Energetic
Blaster,,Marc Benjamin,,,0,,0.667,0.0326,0.857,0.464,0.27,0.301,-4.729,0.0468,125.946,2,,Energetic
Bleed American,,Jimmy Eat World,,,63,,0.438,0.00842,0.938,1.08E-06,0.806,0.584,-5.611,0.094,160.212,6,,Energetic
Bloodbuzz Ohio,,SOAK,,,46,,0.441,0.715,0.268,1.49E-06,0.11,0.057,-8.173,0.0308,140.073,6,,Sad
Bloom,,Hilder Sky,,,52,,0.249,0.945,0.129,0.839,0.17,0.253,-18.167,0.0324,70.59,4,,Calm
Bloom Innocent,,Fink,,,20,,0.519,0.931,0.236,0.133,0.127,0.283,-18.378,0.0362,80.008,2,,Sad
Blow,,Yves V,,,0,,0.603,0.0186,0.902,0.683,0.105,0.135,-5.979,0.0494,127.973,5,,Happy
Body Rock,,Bingo Players,,,46,,0.627,0.00919,0.944,0.00311,0.444,0.551,-4.459,0.344,126.078,5,,Happy
Boiler,,Limp Bizkit,,,0,,0.443,0.00393,0.722,0.0155,0.0373,0.167,-6.326,0.0865,111.324,6,,Energetic
Bortom Träden,,Erik Reno,,,48,,0.446,0.801,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,8,,Calm
Bottom Of The Sea,,Isaac Elton,,,48,,0.775,0.00681,0.66,0.171,0.22,0.425,-7.929,0.0444,126.022,0,,Happy
Bottom of a Bottle,,Smile Empty Soul,,,61,,0.537,0.00236,0.847,1.16E-06,0.0844,0.459,-5.208,0.0383,106.055,6,,Energetic
Bouquet with Lilies,,La Acacia,,,56,,0.621,0.716,0.345,0.921,0.091,0.113,-12.106,0.0295,117.683,0,,Calm
Break Stuff,,Limp Bizkit,,,0,,0.45,0.0108,0.877,0.000643,0.112,0.663,-6.676,0.156,108.501,8,,Energetic
Breathe,,Hans Voller,,,29,,0.612,0.99,0.037,0.947,0.108,0.103,-18.855,0.0408,113.008,11,,Calm
Breathe Me,,Sia,,,68,,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,,Sad
Brimful of Asha - Norman Cook Remix,,Fatboy Slim,,,0,,0.663,0.18,0.957,0,0.348,0.937,-2.823,0.0584,125.678,11,,Happy
Bruises,,Lewis Capaldi,,,84,,0.736,0.946,0.308,0,0.186,0.361,-7.83,0.0677,111.202,4,,Sad
Butterfly,,Crazy Town,,,71,,0.736,0.00132,0.811,0.000142,0.107,0.609,-4.17,0.081,103.502,9,,Happy
Bye Bye Little House,,Ella van der Woude,,,30,,0.31,0.985,0.0313,0.94,0.263,0.182,-23.55,0.0325,92.857,10,,Calm
California Dreamin',,The Mamas & The Papas,,,50,,0.554,0.628,0.667,0,0.0486,0.597,-10.226,0.0342,112.749,1,,Happy
Calm Wilderness,,Night Sounds,,,52,,0.186,0.886,0.271,0.961,0.141,0.0684,-17.149,0.0449,115.896,7,,Calm
Car Underwater,,Armor For Sleep,,,52,,0.435,0.014,0.774,0,0.127,0.448,-5.052,0.0631,147.466,2,,Energetic
Chariot,,Beach House,,,42,,0.374,0.663,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10,,Sad
Children Of Today,,Blasterjaxx,,,58,,0.507,0.00892,0.836,0.000598,0.485,0.333,-4.357,0.038,130.027,6,,Energetic
Chocolate,,The 1975,,,66,,0.614,0.000532,0.938,0,0.368,0.607,-4.461,0.0611,100.058,11,,Happy
Chop Suey!,,System Of A Down,,,79,,0.419,0.000278,0.934,0.0015,0.132,0.286,-3.908,0.12,127.288,7,,Energetic
City Lights,,Marlies du Mosch,,,26,,0.341,0.983,0.0582,0.924,0.097,0.0514,-23.103,0.0472,83.05,8,,Calm
Clap Your Hands,,Sia,,,44,,0.699,0.000532,0.87,0.0219,0.359,0.778,-4.925,0.0546,120.033,0,,Happy
Cleansing,,Jacco Wynia,,,36,,0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,9,,Calm
Clear Skies,,Dhyana Thomas,,,51,,0.421,0.94,0.136,0.89,0.113,0.0505,-23.521,0.0305,110.036,11,,Calm
Click Click Boom,,Saliva,,,0,,0.607,0.00259,0.935,0.000221,0.195,0.51,-2.918,0.0506,95.97,6,,Energetic
Coda,,Jakob Ahlbom,,,58,,0.351,0.93,0.24,0.904,0.101,0.0968,-15.363,0.034,79.919,9,,Calm
